"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history"
222,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.4,4,1
223,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.4,4,1
224,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.4,4,1
225,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.4,4,1
226,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,0.7,4,1
227,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,0.7,4,1
228,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,0.7,4,1
229,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,80,0.7,4,1
230,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,80,0.7,4,1
231,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,80,0.7,4,1
232,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,85,0.7,4,1
233,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,85,0.7,4,1
234,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,85,0.7,4,1
235,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,50,75,1,4,1
236,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,55,75,1,4,1
237,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,1,60,75,1,4,1
