sim_year,agent_race,agent_age,birth_prob
2007,chinese,29,0.08214406976744185
2007,malay,29,0.13978903100775192
2007,indian,29,0.09007025193798449
2007,other,29,0.13978903100775192
2007,chinese,30,0.0867015069767442
2007,malay,30,0.14754466976744188
2007,indian,30,0.09506744186046513
2007,other,30,0.14754466976744188
2007,chinese,31,0.08988855813953489
2007,malay,31,0.15296824806201553
2007,indian,31,0.09856201550387597
2007,other,31,0.15296824806201553
2007,chinese,32,0.08857004651162792
2007,malay,32,0.1507244651162791
2007,indian,32,0.09711627906976746
2007,other,32,0.1507244651162791
2007,chinese,33,0.08156037209302328
2007,malay,33,0.1387957209302326
2007,indian,33,0.08943023255813956
2007,other,33,0.1387957209302326
2007,chinese,34,0.07039579534883722
2007,malay,34,0.11979635348837211
2007,indian,34,0.07718837209302327
2007,other,34,0.11979635348837211
2007,chinese,35,0.05745622093023255
2007,malay,35,0.09777637596899225
2007,indian,35,0.06300024224806201
2007,other,35,0.09777637596899225
2007,chinese,36,0.04519437209302325
2007,malay,36,0.07690972093023256
2007,indian,36,0.04955523255813953
2007,other,36,0.07690972093023256
2007,chinese,37,0.034381604651162787
2007,malay,37,0.05850904651162791
2007,indian,37,0.03769912790697674
2007,other,37,0.05850904651162791
2007,chinese,38,0.02619437209302325
2007,malay,38,0.04457638759689922
2007,indian,38,0.028721899224806197
2007,other,38,0.04457638759689922
2007,chinese,39,0.020145523255813952
2007,malay,39,0.03428273255813954
2007,indian,39,0.02208938953488372
2007,other,39,0.03428273255813954
2007,chinese,40,0.014277572093023253
2007,malay,40,0.024296920930232557
2007,indian,40,0.015655232558139533
2007,other,40,0.024296920930232557
2007,chinese,41,0.008285767441860464
2007,malay,41,0.014100341085271318
2007,indian,41,0.009085271317829458
2007,other,41,0.014100341085271318
2007,chinese,42,0.0038830697674418603
2007,malay,42,0.006608031007751938
2007,indian,42,0.004257751937984496
2007,other,42,0.006608031007751938
2007,chinese,43,0.0014033488372093034
2007,malay,43,0.002388155038759692
2007,indian,43,0.0015387596899224818
2007,other,43,0.002388155038759692
2007,chinese,44,0.0004293116279069761
2007,malay,44,0.0007305829457364331
2007,indian,44,0.00047073643410852644
2007,other,44,0.0007305829457364331
2007,chinese,45,0.0002882697674418602
2007,malay,45,0.0004905643410852709
2007,indian,45,0.0003160852713178291
2007,other,45,0.0004905643410852709
2007,chinese,46,0.00039767441860465104
2007,malay,46,0.0006767441860465115
2007,indian,46,0.0004360465116279068
2007,other,46,0.0006767441860465115
2007,chinese,47,0.0003853023255813952
2007,malay,47,0.00065568992248062
2007,indian,47,0.00042248062015503863
2007,other,47,0.00065568992248062
2007,chinese,48,0.00011930232558139538
2007,malay,48,0.00020302325581395358
2007,indian,48,0.00013081395348837213
2007,other,48,0.00020302325581395358
2007,chinese,49,0.0
2007,malay,49,0.0
2007,indian,49,0.0
2007,other,49,0.0
2008,chinese,15,0.0
2008,malay,15,0.0
2008,indian,15,0.0
2008,other,15,0.0
2008,chinese,16,0.0024828843749999992
2008,malay,16,0.004159920312499999
2008,indian,16,0.002591782812499999
2008,other,16,0.004159920312499999
2008,chinese,17,0.0057135375
2008,malay,17,0.009572681250000001
2008,indian,17,0.00596413125
2008,other,17,0.009572681250000001
2008,chinese,18,0.008568881249999999
2008,malay,18,0.014356634375
2008,indian,18,0.008944709374999998
2008,other,18,0.014356634375
2008,chinese,19,0.011056396874999999
