"","smoking_grp","stage","n","YEAR","predicted_cost","lower_CI","upper_CI","se"
"112","smokers","Stage II",1,12,560.035407266307,175.536669869156,944.534144663458,196.172825202628
"113","smokers","Stage II",1,13,383.957743303945,87.0174923858687,680.897994222021,151.500128019427
"114","smokers","Stage II",1,14,263.239692937763,36.588225646625,489.891160228901,115.638503719968
"115","smokers","Stage II",1,15,180.475943372532,9.15862503221234,351.793261712851,87.4067950715916
"116","smokers","Stage II",1,16,123.73349084519,0,252.162409093375,65.5249582898902
"117","smokers","Stage II",1,17,84.8311219248452,0,180.434663155758,48.7773169545474
"118","smokers","Stage II",1,18,58.1598336705111,0,128.899269226133,36.0915487528685
"119","smokers","Stage II",1,19,39.874119024127,0,91.942295993025,26.5653964127031
"120","smokers","Stage II",1,20,27.3375157322089,0,65.4871900102134,19.4641195295941
"121","smokers","Stage III",1,1,42174.5699590999,33194.4249324112,51154.7149857887,4581.70664626978
"122","smokers","Stage III",1,2,28663.9977836607,23647.1500191123,33680.8455482092,2559.61620640226
"123","smokers","Stage III",1,3,19481.4959158676,16591.4308310277,22371.5610007074,1474.52300246931
"124","smokers","Stage III",1,4,13240.5739054775,11393.6863605869,15087.4614503681,942.289563719697
"125","smokers","Stage III",1,5,8998.91458059528,7634.8545645076,10362.974596683,695.948987799838
"126","smokers","Stage III",1,6,6116.07044891373,5012.32872862943,7219.81216919802,563.133530757295
"127","smokers","Stage III",1,7,4156.75378062667,3243.85403782108,5069.65352343225,465.765174900809
"128","smokers","Stage III",1,8,2825.11427008289,2077.80550367664,3572.42303648914,381.279982860332
"129","smokers","Stage III",1,9,1920.07353345056,1319.62536034963,2520.5217065515,306.351108724967
"130","smokers","Stage III",1,10,1304.96788784124,831.380560263643,1778.55521541884,241.626187539591
"131","smokers","Stage III",1,11,886.91461550782,519.402606091262,1254.42662492438,187.506127253346
"132","smokers","Stage III",1,12,602.786890413567,321.477125028851,884.096655798282,143.525390502406
"133","smokers","Stage III",1,13,409.680964662437,196.816414432526,622.545514892348,108.604362362199
