"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
1706,1,0,0,0,0,0,0,0,55,80,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1706,"Baseline",9135023907.97,85624538.52,8812619645.21,322404262.75,507316439,1078455,586274,286401,182154,75834,106320,950,950,0,93767,41371,52396,908,908,0,138406,58885,79521,126200,56632,69568,111078,49743,61335,126461,451907.188376575,1583.48999999464,715590513.719999,261,2665,66,6.94736842105263,26.5566018053604,331
1707,1,0,0,0,0,0,0,0,60,80,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1707,"Baseline",8949494646.76,85624214.89,8710210230.52,239284416.24,507315704,803317,471370,213022,182149,75829,106320,856,856,0,93762,41366,52396,814,814,0,138446,58925,79521,126234,56666,69568,111120,49785,61335,126461,420730.281547355,1259.8599999994,530061252.51,227,1930,61,7.12616822429906,26.5178005693892,291
1708,1,0,0,0,0,0,0,0,50,85,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1708,"Baseline",9387215603.58,85624868.01,8953349240.45,433866363.13,507316924,1452598,719909,385863,182227,75907,106320,1299,1299,0,93768,41372,52396,971,971,0,138323,58802,79521,126136,56568,69568,111008,49673,61335,126461,505902.94165537,1912.98000000417,967782209.33,325,3150,139,10.7005388760585,26.5636466524117,414
1709,1,0,0,0,0,0,0,0,55,85,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1709,"Baseline",9185631218.62,85624703.99,8841963819.64,343667398.99,507316543,1155483,601972,306902,182226,75906,106320,1236,1236,0,93767,41371,52396,908,908,0,138346,58825,79521,126152,56584,69568,111031,49696,61335,126461,438087.67746139,1748.95999999344,766197824.370001,309,2769,138,11.1650485436893,26.5604946156715,391
1710,1,0,0,0,0,0,0,0,60,85,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1710,"Baseline",9000101957.42,85624380.36,8739554404.94,260547552.47,507315808,880345,487401,233523,182221,75901,106320,1142,1142,0,93762,41366,52396,814,814,0,138386,58865,79521,126186,56618,69568,111073,49738,61335,126461,407392.367501371,1425.32999999821,580668563.17,275,2034,133,11.646234676007,26.5263050281424,351
1711,1,0,0,0,0,0,0,0,50,75,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1711,"Baseline",9884580975.74,85625621.03,9225271353.82,659309621.93,507318777,2188748,819215,581490,182141,75821,106320,1263,1263,0,93677,41281,52396,1263,1263,0,138276,58755,79521,126082,56514,69568,110941,49606,61335,126461,549567.734992498,2666,1465147581.49,379,5003,53,4.19635787806809,26.5672430083317,461
1712,1,0,0,0,0,0,0,0,55,75,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1712,"Baseline",9531594531.28,85625362.19,9030315715.51,501278815.77,507318111,1668336,692890,443460,182139,75819,106320,1155,1155,0,93675,41279,52396,1155,1155,0,138304,58783,79521,126108,56540,69568,110972,49637,61335,126461,462022.107808228,2407.15999999642,1112161137.03,353,4337,51,4.41558441558442,26.5809764939437,433
1713,1,0,0,0,0,0,0,0,60,75,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1713,"Baseline",9207645980.62,85624825.35,8851645801.97,356000178.66,507316973,1187398,566088,315390,182134,75814,106320,1012,1012,0,93670,41274,52396,1012,1012,0,138368,58847,79521,126162,56594,69568,111040,49705,61335,126461,421431.940188318,1870.31999999285,788212586.370001,299,3199,46,4.54545454545455,26.5614393825828,369
1714,1,0,0,0,0,0,0,0,50,80,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1714,"Baseline",10025292634.34,85626096.99,9303240087.12,722052547.22,507319305,2407510,842998,639178,182192,75872,106320,1691,1691,0,93884,41488,52396,1624,1624,0,138129,58608,79521,125974,56406,69568,110812,49477,61335,126461,511101.108891695,3141.95999999344,1605859240.09,487,5531,104,6.15020697811946,26.5493393589227,608
1715,1,0,0,0,0,0,0,0,55,80,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1715,"Baseline",9672306189.88,85625838.15,9108284448.81,564021741.07,507318639,1887098,716716,501148,182190,75870,106320,1583,1583,0,93882,41486,52396,1516,1516,0,138157,58636,79521,126000,56432,69568,110843,49508,61335,126461,434554.508875082,2883.12000000477,1252872795.63,461,4865,102,6.44346178142767,26.5565434333564,580
