"YEAR","smoking_grp","stage","predicted_cost","se"
1,"smokers","Stage II",37510.4387019808,7727.80689443193
2,"smokers","Stage II",26008.8198401471,4525.08596596124
3,"smokers","Stage II",18033.8853357577,2693.46924935435
4,"smokers","Stage II",12504.2663814634,1703.25903872952
5,"smokers","Stage II",8670.16472566942,1195.4413482847
6,"smokers","Stage II",6011.68924337178,925.034739925403
7,"smokers","Stage II",4168.36279940332,752.065922458358
8,"smokers","Stage II",2890.24166590779,617.43976760394
9,"smokers","Stage II",2004.02189213719,502.73730395417
10,"smokers","Stage II",1389.53845074119,403.777810423476
11,"smokers","Stage II",963.470989891571,319.774360840977
12,"smokers","Stage II",668.046535788553,250.035841870008
13,"smokers","Stage II",463.206654545263,193.34326791682
14,"smokers","Stage II",321.175836293726,148.080744992871
15,"smokers","Stage II",222.695241544492,112.485588648531
16,"smokers","Stage II",154.411275701344,84.8431394820334
17,"smokers","Stage II",107.064892354032,63.6015995028234
18,"smokers","Stage II",74.2361017530326,47.4232519769293
19,"smokers","Stage II",51.4734445840878,35.1941439185853
20,"smokers","Stage II",35.6903909928559,26.0101611023375
1,"smokers","Stage III",41283.7403664857,4349.84836167365
2,"smokers","Stage III",27398.9500020266,2434.07942021537
3,"smokers","Stage III",18183.952879608,1450.87049630699
4,"smokers","Stage III",12068.1793952893,974.641609659345
5,"smokers","Stage III",8009.29329509064,732.315021120795
6,"smokers","Stage III",5315.52139812716,579.347383538826
7,"smokers","Stage III",3527.74533684576,461.04571978781
8,"smokers","Stage III",2341.25472938247,362.431793104154
9,"smokers","Stage III",1553.81879021847,280.252387916409
10,"smokers","Stage III",1031.22221022199,213.299206095621
11,"smokers","Stage III",684.39082934839,160.09603013109
12,"smokers","Stage III",454.209386350734,118.742297026543
13,"smokers","Stage III",301.444960689398,87.1858551531344
14,"smokers","Stage III",200.059855775119,63.4683272143975
15,"smokers","Stage III",132.773643988698,45.8644649807716
16,"smokers","Stage III",88.1178308848409,32.9339688549011
17,"smokers","Stage III",58.481125369357,23.5191530374778
18,"smokers","Stage III",38.8121449441489,16.7150501965833
19,"smokers","Stage III",25.7584406191154,11.8290670985478
20,"smokers","Stage III",17.0950939218451,8.33985307711557
1,"smokers","Stage IV",52758.8623687836,3945.51383130436
2,"smokers","Stage IV",43896.5378490311,3149.25833241775
